Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
田中,えっと、皆さん、今日はお集まりいただきありがとうございます。前田課長から提案された自動会議設定機能の評価結果について、報告をさせていただきます。,,,,
前田課長,はい、田中さん、よろしくお願いします。結果を楽しみにしていますよ。,,,,
田中,あの、まずはアンケートの結果をお伝えします。全体の約70%の方が、この機能は必要ないと回答しています。,,,,
坂本係長,うーん、そうなんですか。ちょっと意外ですね。,,,,
前田課長,いやいや、そんなことないでしょう。みんな最初は抵抗感があるものですから。,,,,
田中,ですが、自由記述の意見には、機能の削除を希望する声が多くありました。,,,,
坂本係長,あ、そうなんですね。やっぱり、そういう意見もありますよね。,,,,
前田課長,まあ、でもそれは短期的な意見ですから。長い目で見れば、必要な機能になると思いますよ。,,,,
田中,えっと、一応、改善案として、機能の使いやすさを向上させることを提案しています。,,,,
前田課長,いいですね、改善案も聞きたいです。,,,,
田中,あの、フィードバックをもとにシンプルなインターフェースにすることが考えられます。,,,,
坂本係長,それ、いいかもしれませんね。あまり複雑だと、使いにくいのかもしれません。,,,,
前田課長,ところで、みんな、金曜日の飲み会はどうですか？新しい海鮮居酒屋に行こうと思ってるんですけど。,,,,
田中,あ、えっと、飲み会の話は後で、今は会議中なので…,,,,
坂本係長,あ、でも、居酒屋の話、気になりますね。どんな感じのところですか？,,,,
前田課長,最近オープンしたばかりで、評判が良いみたいです。予約が取れないと困るので、早めに人数を確定したいですね。,,,,
田中,あの、金曜日には、私、ちょっと用事がありますが…,,,,
坂本係長,田中さん、行けたら行きましょうよ。あまり気にしなくても大丈夫ですよ。,,,,
前田課長,そうですよ、田中さん、楽しんだ方がいいです！,,,,
田中,えっと、そうですね。行けるかどうか、また考えてみます。,,,,
前田課長,いいですね。じゃあ、会議に戻りましょう。次の改善案は何かありますか？,,,,
坂本係長,あ、そうですね。もっとシンプルに、機能を減らすというのも一つの手かもしれません。,,,,
田中,えっと、具体的にはどの機能を削除するか、もう少し議論が必要です。,,,,
前田課長,いいアイディアですね。削除する機能が決まれば、利用者の反応も良くなると思いますよ。,,,,
坂本係長,そういえば、私も飲み会の件について話していて、話が逸れましたね。,,,,
田中,あの、会議の進行が…,,,,
前田課長,まあ、飲み会の話は大事ですからね！次は、どの機能が一番不要かを考えてみましょう。,,,,
坂本係長,確かに、飲み会の情報も重要ですし、みんなで一緒に行くのは楽しいですから。,,,,
田中,ですが、現状の評価結果を考えると、機能の削除が妥当かと思います。,,,,
前田課長,それについては、また後日、詳しく話し合いましょう。,,,,
坂本係長,じゃあ、みんなで金曜日の飲み会の話に戻りましょうか。,,,,
田中,あの、もう少し会議を進めないといけませんが…,,,,
前田課長,そう言えば、誰かこの海鮮居酒屋に行ったことがある人はいるのかな？,,,,
坂本係長,うーん、私は行ったことないですね。,,,,
田中,私も行ったことはなくて…評判だけ聞いています。,,,,
前田課長,じゃあ、次回の会議の際に、実際にどうだったか話せるといいですね。,,,,
坂本係長,そうですね、次回の会議では飲み会の話も含めて進められるといいですね。,,,,
田中,えっと、今は会議中なので、まずは結果をまとめましょう。,,,,
前田課長,そうですか、じゃあ最後にまとめて、飲み会の計画を立てましょう。,,,,
坂本係長,はい、私もその方向で進めます。,,,,
田中,あの、まとめとして、アンケート結果をふまえて、改善案を提出することにします。,,,,
前田課長,いいですね。では、この内容で進めましょう。,,,,
