Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
部長,さて、皆さん、今日は自動会議設定機能のトライアルについてのアンケート評価を報告してもらいます。しっかりとした結果を期待しています。,,,,
課長,はい、部長。全員がしっかり準備してきているはずです。,,,,
リーダー,私たちのチームも頑張ってデータを集めました。,,,,
担当者,すみません、ちょっと…集計が…間に合わなかった部分もありまして……,,,,
部長,間に合わなかったってどういうことだ。しっかりやってくれないと困る。,,,,
課長,そうですよ。責任持ってやってください。,,,,
リーダー,でも、状況的には…時間的に厳しかった部分もあります。「,,,,
部長,言い訳はいいから。結果を出すのが仕事だ。もっと真剣に考えろ。,,,,
担当者,申し訳ございません。頑張ります。,,,,
課長,吉田さん、あなたには期待しているのだから、全力を尽くしてください。,,,,
リーダー,一応、データをお見せします。こちらが、参加者の評価です。,,,,
部長,評価はどれくらいだったんだ？,,,,
リーダー,全体的には…まあ、良かったと言えますが、改善点も明確です。,,,,
部長,良かった？その程度で満足できるのか？もっと高められるだろ。,,,,
課長,そうだ、必要な改善をサポートしていくべきです。,,,,
リーダー,努力はしていますが、実際のところ…,,,,
部長,努力ではなく結果が必要だ。改善案を具体的に考えてきてくれ。,,,,
担当者,頑張りますので、少し時間をいただけると……,,,,
部長,そんなのは許されない。今すぐ考えろ。,,,,
課長,その通りです。早く具体案を出してほしいです。,,,,
リーダー,一部のデータでは、機能が複雑に感じるとの声がありました。,,,,
部長,それは問題だな。使いやすさが欠けている。,,,,
担当者,申し訳ございません、時間が……,,,,
部長,理由はいらないから。改善案を早くしっかりまとめてくれ。,,,,
リーダー,今後のトライアルでは、使いやすさを重点に置く必要がありますね。,,,,
部長,当然だ。そこを強化しないと次のステップはない。,,,,
担当者,はい、分かりました。頑張ります。,,,,
課長,実際のフィードバックをもとに、改善を進めよう。,,,,
リーダー,それに加え、操作マニュアルの見直しも必要ですね。,,,,
部長,ほう、そうか。それは重要だな。具体的に行動すればいい。,,,,
担当者,すみません、私もマニュアル改善に参加させてください。,,,,
課長,きちんとフォローしますから、一緒に頑張りましょう。,,,,
部長,必ず結果を出せ。次回の会議までに準備しておけ。,,,,
リーダー,了解しました。しっかりサポートします。,,,,
担当者,はい、頑張ります。,,,,
部長,さて、今日はこの辺で終わりだ。次回までにしっかり準備しておけ。,,,,
課長,お疲れ様でした。しっかり進めます。,,,,
リーダー,ありがとうございました、頑張ります。,,,,
担当者,お疲れ様でした。,,,,
部長,次回こそ、いい報告を待っているからな。,,,,
