Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
社長,今日は自動会議設定機能のトライアル結果について、報告を聞く。遅れたやつは責任を取れるのか？,,,,
専務,社長の言う通りです。この結果を真剣に受け止めるべきです。,,,,
課長,仰る通りです。選ばれた担当者の皆さんには、しっかり責任を取ってもらいます。,,,,
担当者,すみません、私たちの結果がちょっと…,,,,
社長,結果がどうした？もっとしっかりやれよ、使えないな。,,,,
専務,結果が悪いのは、明らかにあなたたちの責任です。,,,,
課長,俺の評価に関わるから、君たちも頑張んなきゃダメだ。,,,,
担当者,はい、すみません…本当に申し訳ございません。頑張ります。,,,,
社長,頑張るってどういうことだ？もう少し具体的に言ってみろ。,,,,
専務,そうです。具体的な改善案を出さないと許しません。,,,,
課長,全員、目を覚ませ。こんな結果では済まないぞ。,,,,
担当者,あの…何か具体的に改善点を考えればいいのか…,,,,
社長,そんな頭じゃ一生無理だな。もっとしっかり考えろ。,,,,
専務,一体、何をしているのか。すぐに改善案を用意しろ。,,,,
課長,お前らのせいで、俺が評価を下げられるかもしれない。,,,,
担当者,すみません、私たちも何とかしたいんですが…,,,,
社長,「何とかしたい」なんて言葉は甘えだ。行動で示せ。,,,,
専務,やる気がないのか？それなら、どうするつもりだ。,,,,
課長,俺も責任を負うから、全部お前らがやれ。,,,,
担当者,えっと…できる範囲で頑張ります。,,,,
社長,できる範囲って何だ？それでは進まない。,,,,
専務,達成不可能な要求ではない、やる気が足りないだけだ。,,,,
課長,言い訳は許さない。すぐに結果を出せ。,,,,
担当者,本当に申し訳ないです、頑張ります。,,,,
社長,頑張れればいいってもんじゃない、結果が全てだ。,,,,
専務,やる気がないなら、ここにはいられませんよ。,,,,
課長,全員が徹底してやらないと俺の評価も下がるんだ。,,,,
担当者,何とか、できるように努力します。,,,,
社長,何とかじゃなく、結果を出せ。,,,,
専務,一丸となって取り組む必要があります。,,,,
課長,甘いことを言ってる暇はないぞ、すぐに行動しろ。,,,,
担当者,あの…その…すみません、本当に申し訳ないです。,,,,
社長,それで済まされると思うな。,,,,
専務,言い訳は一切通用しません。,,,,
課長,責任を果たさない奴はクビだ。,,,,
担当者,できる限り頑張ります…,,,,
社長,頑張るだけじゃダメだ、まずは数字を出せ。,,,,
専務,それができないなら、次は考え直さなければなりません。,,,,
課長,全力を尽くせ、お前らの力が必要だ。,,,,
担当者,えっと…色々と考えます、すみません。,,,,
社長,考えるのはいいが、それが実行に移せなければ意味がない。,,,,
専務,今すぐにでも動き出すべきです。,,,,
課長,俺のためにも、しっかりやれよ。,,,,
担当者,頑張ります、本当に申し訳ありません。,,,,
社長,本当に申し訳ないでは済まない、何度も言わせるな。,,,,
専務,責任を持て。何もしないのなら、外されても文句は言えない。,,,,
課長,俺が評価されるために、全員が力を合わせろ。,,,,
担当者,分かりました、すみません…頑張ります。,,,,
社長,それでは、これが最後のチャンスだ。一生懸命にやれ。,,,,
専務,次回は結果をしっかりと出してきてください。,,,,
課長,お前ら、手を抜くなよ。,,,,
担当者,ありがとうございます。頑張ります。,,,,
社長,お疲れ様でした。,,,,
専務,ありがとうございました。皆さん、次は期待しています。,,,,
課長,期待を裏切るな。,,,,
担当者,ありがとうございました…頑張ります。,,,,
