Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
社長,皆さん、今日は自動会議設定機能のトライアルに伴うアンケート評価結果を報告します。私が言った通り、この機能は我々の業務を大いに助けるものです。,,,,
副社長,社長の仰る通りです。この機能は私たちの運営をスムーズにしてくれます。,,,,
古参社員,特に異論ありません。,,,,
若手社員,あの、私、ちょっと…,,,,
社長,ちょっと待って下さい。まずは評価結果を見てから議論しましょう。私の経験では、結果は明確ですから。,,,,
副社長,まさにその通りです。評価結果には貴重な情報が詰まっております。,,,,
社長,結果を見てみると、ほとんどの社員がこの機能に対してポジティブな評価をしています。この反応を受けて、我々はこの機能を更に発展させるべきだと思います。,,,,
古参社員,お任せします。,,,,
若手社員,すみません、機能について改善点も…,,,,
社長,改善点？私が正しいと思うのは、今のところこの機能変更の必要はないということです。それは考えが甘い。,,,,
副社長,社長の意見に賛同します。現状維持が最良です。,,,,
古参社員,特に改善点は…ございません。,,,,
若手社員,あの、でも…,,,,
社長,何か言いたいことがあるなら、はっきり言ってください。,,,,
若手社員,いや、その…改善点がないわけでは…,,,,
社長,それは違う。私が言ったように、皆さんの意見はあまり価値がない。私の経験では、これで十分です。,,,,
副社長,私もそう思っていました。社長の説得力にはかないません。,,,,
古参社員,お疲れ様です。特に問題はないということで。,,,,
社長,この機能が導入された後、我々の会議の効率が上がることを期待しています。,,,,
副社長,社長の仰る通りで、我々の効率性に寄与するでしょう。,,,,
若手社員,すみません、でも具体的にどういう点が良くなるのか…,,,,
社長,具体的な点を挙げる必要はない。重要なのは、我々がこの方向で進むことだ。,,,,
古参社員,うん、もうお任せします。,,,,
副社長,全員そう思いますよね？,,,,
若手社員,あの…あまり…,,,,
社長,私が言った通り、これが最良の策です。,,,,
副社長,私も社長に賛成です。,,,,
古参社員,特にございません。,,,,
若手社員,すみません、やっぱり…,,,,
社長,私の意見がすべてです。この機能に対する満足度が高いのですから、何も変える必要はありません。,,,,
副社長,確かに、社長が正しいです。,,,,
古参社員,お任せします。,,,,
若手社員,あの、これから先…,,,,
社長,これから先は、私たちがその方向に進むことが決まっています。,,,,
副社長,まさにその通りです。,,,,
古参社員,特に意見はありません。,,,,
若手社員,やっぱり…意見が何もないと…,,,,
社長,さて、皆さん、これで会議は終わりにします。,,,,
副社長,ありがとうございました、社長。,,,,
古参社員,お疲れ様でした。,,,,
若手社員,ありがとうございました…,,,,
