Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
プロジェクトマネージャー,皆、今日は自動会議設定機能のアンケート結果を報告する。期待しているぞ。,,,,
リーダー,そうですね。みんな本当に頑張ってほしいです。,,,,
メンバーA,すみません、私たちも頑張りましたが…,,,,
メンバーB,アンケート結果は…そうですね、改善の余地があると思います。,,,,
プロジェクトマネージャー,具体的に何が問題だったんだ？またお前のミスか？,,,,
メンバーA,申し訳ございません、ですが…,,,,
リーダー,やっぱりマネージャーの言う通りです。もっと真剣にやれ。,,,,
メンバーB,もちろん努力していますが、それは無理です…,,,,
プロジェクトマネージャー,お前らができないから、また俺が怒られるんだ。,,,,
メンバーA,そうですよね、すみません…,,,,
リーダー,なんとか改善してほしい。お前たち次第だ。,,,,
メンバーB,現実的ではありません、スケジュールが…,,,,
プロジェクトマネージャー,言い訳は聞きたくない。できないなら辞めたらどうだ。,,,,
メンバーA,あの、えっと…頑張ります…,,,,
リーダー,お前は本当に使えないな。,,,,
メンバーB,技術的な理由があって…,,,,
プロジェクトマネージャー,言い訳するな。もっと努力しろ。,,,,
メンバーA,申し訳ありません、どう改善すれば…,,,,
リーダー,俺はマネージャーを支持する。どうにかしろ。,,,,
プロジェクトマネージャー,前も失敗したよな。今回も同じか？,,,,
メンバーB,わかりました、頑張ります。,,,,
メンバーA,あの…しょうがないと思いますが…,,,,
プロジェクトマネージャー,お前ら、こんな簡単なこともわからないのか。,,,,
リーダー,みんな、真剣に取り組んでほしい。,,,,
メンバーB,でも、無理なスケジュールです。,,,,
プロジェクトマネージャー,そんなことを言うな。急いでやれ。,,,,
メンバーA,本当にすみません、頑張ります…,,,,
リーダー,マネージャーの言う通りだ。みんな緊張感が必要。,,,,
プロジェクトマネージャー,お前の代わりはいくらでもいる。,,,,
メンバーB,納得できない部分もありますが…,,,,
プロジェクトマネージャー,納得する必要はない。結果を出せ。,,,,
リーダー,次回までに進めてくれ。,,,,
メンバーA,わかりました、すみません…,,,,
メンバーB,それなら、何とかします。,,,,
プロジェクトマネージャー,お前らの努力がなければ、俺も困る。,,,,
リーダー,本当に頑張ってほしい。,,,,
メンバーA,これからもっと頑張ります…,,,,
メンバーB,無理のない範囲でやれれば…,,,,
プロジェクトマネージャー,甘えんな。,,,,
リーダー,みんなお疲れ様。次回はもっといい結果を。,,,,
メンバーA,はい、ありがとうございました。,,,,
メンバーB,終わりにしましょう。,,,,
プロジェクトマネージャー,お疲れ様だった。,,,,
リーダー,ありがとうございました。,,,,
