Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
企画担当,えっと、今回の自動会議設定機能のアンケート評価について、あの、確認します。,,,,
マーケティング,重要なのは、ユーザー視点を意識しながら進めていくことですね。,,,,
営業,でも、現場のお客さんはこう言ってましたよ。実際、こういう反応が多いです。,,,,
新人,すみません、あの、アンケート結果ってどのくらい集まったんですか？,,,,
企画担当,あの、たぶん結果が出ていると思うので、確認します。,,,,
マーケティング,慎重に進めるべきです。もう少し議論が必要ですね。,,,,
営業,現場ではこうです。もっと具体的に考えるべきです。,,,,
新人,つまり、どういう結果が出たということですか？,,,,
企画担当,えっと、確か…後ほど報告します。,,,,
マーケティング,この機能については、あくまで重要性を考えるべきです。,,,,
営業,理想論じゃダメです。具体的な対応が必要です！,,,,
新人,あの、具体的な数字とかって出てますか？,,,,
企画担当,あの、ちょっと待って、確認します。,,,,
マーケティング,まずは、ユーザーの意見をしっかり聞くことが大切です。,,,,
営業,現場での声をもっと大事にしないと。,,,,
新人,すみません、でも、あの、結果ってどういう内容なんですか？,,,,
企画担当,えっと、たぶん…あの、後でお伝えします。,,,,
マーケティング,全体の方向性を考えると、やはり慎重が必要ですね。,,,,
営業,でも、現場は違いますよ。その感覚ではダメです。,,,,
新人,あの、私的には、具体的にどう動くかが大事だと思います。,,,,
企画担当,えっと、何をどうするか、後ほど検討します。,,,,
マーケティング,そこは、みんなで意見を出し合うべきです。,,,,
営業,具体案が必要だと、ずっと言っています。,,,,
新人,あの、でも、どうやって集めたんですか？,,,,
企画担当,うーん、確か、あの、メールで。,,,,
マーケティング,抽象的な意見も大事ですが、具体的なアクションが必要です。,,,,
営業,現場のフィードバックを基にすべきです。,,,,
新人,すみません、あの、もう一度具体的な結果を…,,,,
企画担当,あの、後ほど報告しますので。,,,,
マーケティング,慎重に整えていくことがポイントですね。,,,,
営業,理想論はもういいので、実現可能性を考えませんか？,,,,
新人,あ、あの、違う部分に重点がある気がするんですが。,,,,
企画担当,えっと、すみません、検討します。,,,,
マーケティング,ユーザーの意見をしっかり聞くべきです。,,,,
営業,その意見には同意できません。現場を無視しすぎです！,,,,
新人,あの、みんなの意見をまとめるのが重要だと。,,,,
企画担当,たぶん、もう一度確認します。,,,,
マーケティング,理想論でもいいですが、全体的に見ていきましょう。,,,,
営業,それで、実際にどう動いていくかを考えるべきです。,,,,
新人,そうですよね、次のステップは何ですか？,,,,
企画担当,えっと、後で案を考えて報告します。,,,,
マーケティング,慎重に進めて、みんなで意見を出し合うべきです。,,,,
営業,現場の声が最優先です！,,,,
新人,すみません、あの、理解が追いついてなくて。,,,,
企画担当,たぶん、次は…検討します。,,,,
マーケティング,重要なステップを踏むことが肝要です。,,,,
営業,具体策を出さない限り、意味がありません。,,,,
新人,あの、もう一度具体的な内容を確認していいですか？,,,,
企画担当,えっと、後でまとめてお知らせします。,,,,
マーケティング,みんなで議論して、しっかりとした方向性を決めましょう。,,,,
営業,それでは、具体的なアクションプランが必要です。,,,,
新人,あの、最後に確認したいことがあります。,,,,
企画担当,えっと…検討します。,,,,
マーケティング,それでは、本日はここまでにしましょうか。,,,,
営業,ありがとうございました。次回はもっと具体的に進めましょう。,,,,
新人,すみません、あの、ありがとうございました！,,,,
