Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
企画担当,えっと、皆さん、今日はお集まりいただいてありがとうございます。自動会議設定機能の...あの、アンケート結果の報告をしないといけませんね。,,,,
マーケティング,重要だと思います。ただ、慎重に進めるべきですね。ユーザー視点が大事ですから。,,,,
営業,でも現場は、すでにお客さんからのフィードバックがあるので、これについてはあたしの経験では...,,,,
新人,あの、すみません、質問なんですが、アンケート結果って具体的にはどういう内容だったんですか？,,,,
企画担当,そうですね、内容は...あの、検討します。後ほど報告します。,,,,
マーケティング,なるほど、ただ、具体的なアクションプランがないと進められないと思いますね。,,,,
営業,私の経験では、そもそもこの機能を試すことに意味がありません。,,,,
新人,それって、どうしてですか？すみません、よくわからないんですが。,,,,
企画担当,あの、どういう意味ですか？すみません、もう一度説明していただけますか？,,,,
マーケティング,もう少し議論しましょう。重要なテーマですから。,,,,
営業,お客さんがこう言ってました。実際に使ってみてダメだって。,,,,
新人,えっと、試すってどういうことなんでしょうか？それって、あの、私たちがやるべきことですか？,,,,
企画担当,あの、何が問われているか、よくわかりません。確認しますね。,,,,
マーケティング,慎重に進めるべきです。この機能にはリスクがあります。,,,,
営業,現場では、もうそんなことは言ってられませんよ。とりあえずやってみるしかないです。,,,,
新人,じゃあ、あの、どうなるんですか？その後は？,,,,
企画担当,すみません、すみません、えっと、承知しました。,,,,
マーケティング,これについては持ち帰って検討しましょう。ただ、このままではダメです。,,,,
営業,それは机上の空論です。現場は違いますから。,,,,
新人,つまり、私たちがとりあえず実施するっていうことでしょうか？,,,,
企画担当,あの、すみません、確認します。もう一度説明していただけますか？,,,,
マーケティング,具体的にどうなるかを議論することが大事ですね。,,,,
営業,そもそも、これをやって意味があるのか、わからないです。,,,,
新人,それって、つまりどういうことですか？問題があるなら、どう解決しますか？,,,,
企画担当,はい、承知しました。検討します。,,,,
マーケティング,皆さんはどう思いますか？,,,,
営業,私は経験から言って、これは机上の空論です。,,,,
新人,すみません、私も、実際にはどう進むんでしょうか。,,,,
企画担当,あの、すみません、もう一度説明してください。,,,,
マーケティング,大事なのはユーザー視点ですね。,,,,
営業,でも、実際の現場ではもっと違うことが起きています。,,,,
新人,そういうことって、あの、どうやって検討するんですか？,,,,
企画担当,その...確認します。,,,,
マーケティング,議論は必要ですね。ただ、具体的な次のステップが欲しいですね。,,,,
営業,まずは試してみないと、進めようがないですよ。,,,,
新人,あの、いつまでに検討することになっているんですか？,,,,
企画担当,すみません、もう一度説明していただけますか？,,,,
マーケティング,検討が必要ですね。この機能については慎重に進めるべきです。,,,,
営業,具体的には現場の声を聞かないと進められません。,,,,
新人,私はそのことが、よくわからなくて...,,,,
企画担当,あの、どういう意味ですか？,,,,
マーケティング,改めて考えてみる必要があります。,,,,
営業,結果を出すには行動が必要です。,,,,
新人,すみません、本当に分からなくて...,,,,
企画担当,承知しました。じゃあ、次回また確認しますね。,,,,
マーケティング,では、議論を続けましょう。,,,,
営業,とりあえずやって、フィードバックを見ましょう。,,,,
新人,えっと、これが結果につながるんですかね…。,,,,
企画担当,あの、確認します。,,,,
マーケティング,皆さん、重要ですので。,,,,
営業,現場の声を無視するわけにはいきません。,,,,
新人,もう一度説明してもらえますか？,,,,
企画担当,すみません、わからないことだらけで…。,,,,
マーケティング,重要です。皆で進めたいですね。,,,,
営業,はい、ぜひ進めましょう。,,,,
新人,お疲れ様でした。ありがとうございました。,,,,
